M005-langkode;HTKode
NiN-3.0-T-C-PE-NA-MB-OA01-M005-11;NA-OA01
NiN-3.0-T-C-PE-NA-MB-OA01-M005-12;NA-OA01
NiN-3.0-T-C-PE-NA-MB-OA01-M005-13;NA-OA01
NiN-3.0-T-C-PE-NA-MB-OA01-M005-14;NA-OA01
NiN-3.0-T-C-PE-NA-MB-OA01-M005-15;NA-OA01
NiN-3.0-T-C-PE-NA-MB-OA01-M005-16;NA-OA01
NiN-3.0-T-C-PE-NA-MB-OA02-M005-01;NA-OA02
NiN-3.0-T-C-PE-NA-MB-OA02-M005-02;NA-OA02
NiN-3.0-T-C-PE-NA-MB-OA02-M005-03;NA-OA02
NiN-3.0-T-C-PE-NA-MB-OA02-M005-04;NA-OA02
NiN-3.0-T-C-PE-NA-MB-OA02-M005-05;NA-OA02
NiN-3.0-T-C-PE-NA-MB-OA02-M005-06;NA-OA02
NiN-3.0-T-C-PE-NA-MB-OA02-M005-07;NA-OA02
NiN-3.0-T-C-PE-NA-MB-OA02-M005-08;NA-OA02
NiN-3.0-T-C-PE-NA-MB-OA02-M005-09;NA-OA02
NiN-3.0-T-C-PE-NA-MB-OA02-M005-10;NA-OA02
NiN-3.0-T-C-PE-NA-MB-OA02-M005-11;NA-OA02
NiN-3.0-T-C-PE-NA-MB-OA02-M005-12;NA-OA02
NiN-3.0-T-C-PE-NA-MB-OA02-M005-13;NA-OA02
NiN-3.0-T-C-PE-NA-MB-OA02-M005-14;NA-OA02
NiN-3.0-T-C-PE-NA-MB-OA02-M005-15;NA-OA02
NiN-3.0-T-C-PE-NA-MB-OA02-M005-16;NA-OA02
NiN-3.0-T-C-PE-NA-MB-OA02-M005-17;NA-OA02
NiN-3.0-T-C-PE-NA-MB-OA02-M005-18;NA-OA02
NiN-3.0-T-C-PE-NA-MB-OB01-M005-01;NA-OB01
NiN-3.0-T-C-PE-NA-MB-OB01-M005-02;NA-OB01
NiN-3.0-T-C-PE-NA-MB-OC01-M005-01;NA-OC01
NiN-3.0-T-C-PE-NA-MB-OC01-M005-02;NA-OC01
NiN-3.0-T-C-PE-NA-MB-OC01-M005-03;NA-OC01
NiN-3.0-T-C-PE-NA-MB-OC01-M005-04;NA-OC01
NiN-3.0-T-C-PE-NA-MB-OC02-M005-01;NA-OC02
NiN-3.0-T-C-PE-NA-MB-OC02-M005-02;NA-OC02
NiN-3.0-T-C-PE-NA-MB-OC02-M005-03;NA-OC02
NiN-3.0-T-C-PE-NA-MB-OC03-M005-01;NA-OC03
NiN-3.0-T-C-PE-NA-MB-OC03-M005-02;NA-OC03
NiN-3.0-T-C-PE-NA-MB-OG01-M005-01;NA-OG01
NiN-3.0-T-C-PE-NA-MB-OM01-M005-01;NA-OM01
NiN-3.0-T-C-PE-NA-MB-OM01-M005-02;NA-OM01
NiN-3.0-T-C-PE-NA-MB-OM01-M005-03;NA-OM01
NiN-3.0-T-C-PE-NA-MB-OM02-M005-01;NA-OM02
NiN-3.0-T-C-PE-NA-MB-OM02-M005-02;NA-OM02
NiN-3.0-T-C-PE-NA-MB-TA01-M005-01;NA-TA01
NiN-3.0-T-C-PE-NA-MB-TA01-M005-02;NA-TA01
NiN-3.0-T-C-PE-NA-MB-TA01-M005-03;NA-TA01
NiN-3.0-T-C-PE-NA-MB-TA01-M005-04;NA-TA01
NiN-3.0-T-C-PE-NA-MB-TA01-M005-05;NA-TA01
NiN-3.0-T-C-PE-NA-MB-TA01-M005-06;NA-TA01
NiN-3.0-T-C-PE-NA-MB-TA01-M005-07;NA-TA01
NiN-3.0-T-C-PE-NA-MB-TA01-M005-08;NA-TA01
NiN-3.0-T-C-PE-NA-MB-TA01-M005-09;NA-TA01
NiN-3.0-T-C-PE-NA-MB-TA01-M005-10;NA-TA01
NiN-3.0-T-C-PE-NA-MB-TA01-M005-11;NA-TA01
NiN-3.0-T-C-PE-NA-MB-TA01-M005-12;NA-TA01
NiN-3.0-T-C-PE-NA-MB-TA01-M005-13;NA-TA01
NiN-3.0-T-C-PE-NA-MB-TA02-M005-01;NA-TA02
NiN-3.0-T-C-PE-NA-MB-TA02-M005-02;NA-TA02
NiN-3.0-T-C-PE-NA-MB-TA02-M005-03;NA-TA02
NiN-3.0-T-C-PE-NA-MB-TA02-M005-04;NA-TA02
NiN-3.0-T-C-PE-NA-MB-TA02-M005-05;NA-TA02
NiN-3.0-T-C-PE-NA-MB-TA02-M005-06;NA-TA02
NiN-3.0-T-C-PE-NA-MB-TA02-M005-07;NA-TA02
NiN-3.0-T-C-PE-NA-MB-TA02-M005-08;NA-TA02
NiN-3.0-T-C-PE-NA-MB-TA02-M005-09;NA-TA02
NiN-3.0-T-C-PE-NA-MB-TA03-M005-01;NA-TA03
NiN-3.0-T-C-PE-NA-MB-TA03-M005-02;NA-TA03
NiN-3.0-T-C-PE-NA-MB-TA03-M005-03;NA-TA03
NiN-3.0-T-C-PE-NA-MB-TA03-M005-04;NA-TA03
NiN-3.0-T-C-PE-NA-MB-TA03-M005-05;NA-TA03
NiN-3.0-T-C-PE-NA-MB-TA03-M005-06;NA-TA03
NiN-3.0-T-C-PE-NA-MB-TA03-M005-07;NA-TA03
NiN-3.0-T-C-PE-NA-MB-TA03-M005-08;NA-TA03
NiN-3.0-T-C-PE-NA-MB-TA03-M005-09;NA-TA03
NiN-3.0-T-C-PE-NA-MB-TA03-M005-10;NA-TA03
NiN-3.0-T-C-PE-NA-MB-TA03-M005-11;NA-TA03
NiN-3.0-T-C-PE-NA-MB-TA03-M005-12;NA-TA03
NiN-3.0-T-C-PE-NA-MB-TA03-M005-13;NA-TA03
NiN-3.0-T-C-PE-NA-MB-TA03-M005-14;NA-TA03
NiN-3.0-T-C-PE-NA-MB-TA03-M005-15;NA-TA03
NiN-3.0-T-C-PE-NA-MB-TA03-M005-16;NA-TA03
NiN-3.0-T-C-PE-NA-MB-TA04-M005-01;NA-TA04
NiN-3.0-T-C-PE-NA-MB-TA04-M005-02;NA-TA04
NiN-3.0-T-C-PE-NA-MB-TA04-M005-03;NA-TA04
NiN-3.0-T-C-PE-NA-MB-TB01-M005-01;NA-TB01
NiN-3.0-T-C-PE-NA-MB-TB01-M005-02;NA-TB01
NiN-3.0-T-C-PE-NA-MB-TB01-M005-03;NA-TB01
NiN-3.0-T-C-PE-NA-MB-TB01-M005-04;NA-TB01
NiN-3.0-T-C-PE-NA-MB-TB01-M005-05;NA-TB01
NiN-3.0-T-C-PE-NA-MB-TB01-M005-06;NA-TB01
NiN-3.0-T-C-PE-NA-MB-TB01-M005-13;NA-TB01
NiN-3.0-T-C-PE-NA-MB-TB01-M005-14;NA-TB01
NiN-3.0-T-C-PE-NA-MB-TB01-M005-15;NA-TB01
NiN-3.0-T-C-PE-NA-MB-TC01-M005-01;NA-TC01
NiN-3.0-T-C-PE-NA-MB-TC01-M005-02;NA-TC01
NiN-3.0-T-C-PE-NA-MB-TC01-M005-03;NA-TC01
NiN-3.0-T-C-PE-NA-MB-TC02-M005-01;NA-TC02
NiN-3.0-T-C-PE-NA-MB-TC02-M005-02;NA-TC02
NiN-3.0-T-C-PE-NA-MB-TC02-M005-03;NA-TC02
NiN-3.0-T-C-PE-NA-MB-TC02-M005-04;NA-TC02
NiN-3.0-T-C-PE-NA-MB-TC02-M005-05;NA-TC02
NiN-3.0-T-C-PE-NA-MB-TC02-M005-06;NA-TC02
NiN-3.0-T-C-PE-NA-MB-TC02-M005-07;NA-TC02
NiN-3.0-T-C-PE-NA-MB-TC02-M005-08;NA-TC02
NiN-3.0-T-C-PE-NA-MB-TC03-M005-01;NA-TC03
NiN-3.0-T-C-PE-NA-MB-TC03-M005-02;NA-TC03
NiN-3.0-T-C-PE-NA-MB-TC03-M005-03;NA-TC03
NiN-3.0-T-C-PE-NA-MB-TC03-M005-04;NA-TC03
NiN-3.0-T-C-PE-NA-MB-TC03-M005-05;NA-TC03
NiN-3.0-T-C-PE-NA-MB-TC03-M005-06;NA-TC03
NiN-3.0-T-C-PE-NA-MB-TC04-M005-01;NA-TC04
NiN-3.0-T-C-PE-NA-MB-TC05-M005-01;NA-TC05
NiN-3.0-T-C-PE-NA-MB-TC05-M005-02;NA-TC05
NiN-3.0-T-C-PE-NA-MB-TC05-M005-03;NA-TC05
NiN-3.0-T-C-PE-NA-MB-TC06-M005-01;NA-TC06
NiN-3.0-T-C-PE-NA-MB-TC06-M005-02;NA-TC06
NiN-3.0-T-C-PE-NA-MB-TC06-M005-03;NA-TC06
NiN-3.0-T-C-PE-NA-MB-TC07-M005-01;NA-TC07
NiN-3.0-T-C-PE-NA-MB-TC08-M005-01;NA-TC08
NiN-3.0-T-C-PE-NA-MB-TC08-M005-02;NA-TC08
NiN-3.0-T-C-PE-NA-MB-TC08-M005-03;NA-TC08
NiN-3.0-T-C-PE-NA-MB-TC08-M005-04;NA-TC08
NiN-3.0-T-C-PE-NA-MB-TC08-M005-05;NA-TC08
NiN-3.0-T-C-PE-NA-MB-TC08-M005-06;NA-TC08
NiN-3.0-T-C-PE-NA-MB-TC08-M005-07;NA-TC08
NiN-3.0-T-C-PE-NA-MB-TC08-M005-08;NA-TC08
NiN-3.0-T-C-PE-NA-MB-TC08-M005-09;NA-TC08
NiN-3.0-T-C-PE-NA-MB-TD01-M005-01;NA-TD01
NiN-3.0-T-C-PE-NA-MB-TD01-M005-02;NA-TD01
NiN-3.0-T-C-PE-NA-MB-TD01-M005-03;NA-TD01
NiN-3.0-T-C-PE-NA-MB-TD01-M005-04;NA-TD01
NiN-3.0-T-C-PE-NA-MB-TD01-M005-05;NA-TD01
NiN-3.0-T-C-PE-NA-MB-TD01-M005-06;NA-TD01
NiN-3.0-T-C-PE-NA-MB-TD01-M005-07;NA-TD01
NiN-3.0-T-C-PE-NA-MB-TD01-M005-08;NA-TD01
NiN-3.0-T-C-PE-NA-MB-TD01-M005-09;NA-TD01
NiN-3.0-T-C-PE-NA-MB-TD01-M005-10;NA-TD01
NiN-3.0-T-C-PE-NA-MB-TD01-M005-11;NA-TD01
NiN-3.0-T-C-PE-NA-MB-TD01-M005-12;NA-TD01
NiN-3.0-T-C-PE-NA-MB-TD02-M005-01;NA-TD02
NiN-3.0-T-C-PE-NA-MB-TD02-M005-02;NA-TD02
