GTKode;forrigekode;FP;SP;Klasse;url
TM01-01;NA T39-2;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T39-2
TM01-01;NA T39-3;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T39-3
TM01-01;NA T39-4;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T39-4
TM01-03;NA T39-7;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T39-7
TM01-03;NA T39-8;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T39-8
TM02-01;NA T39-5;2;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T39-5
TM02-01;NA T39-6;2;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T39-6
TM02-02;NA T39-5;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T39-5
TM02-02;NA T39-6;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T39-6
TM03-03;NA T35-2;2;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T35-2
TM03-03;NA T35-3;2;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T35-3
TO03-01;NA T45-1;3;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T45-1
TO03-01;NA T45-2;3;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T45-2
TO04-02;NA T45-1;0;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T45-1
TO04-02;NA T45-2;0;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T45-2
TO04-01;NA T45-1;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T45-1
TO04-01;NA T45-2;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T45-2
VC05-01;NA V7-1;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V7-1
VC05-01;NA V7-2;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V7-2
VC05-02;NA V7-1;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V7-1
VC05-02;NA V7-2;1;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V7-2
VK02-02;NA V10-1;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V10-1
VK02-02;NA V10-2;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V10-2
VM01-05;NA V11-1;2;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V11-1
VM01-05;NA V11-2;2;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V11-2
VM01-06;NA V11-1;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V11-1
VM01-06;NA V11-2;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V11-2
VM03-01;NA V13-2;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V13-2
VM03-01;NA V13-4;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V13-4
VM03-01;NA V13-6;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V13-6
VM06-01;NA V13-1;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V13-1
VM06-01;NA V13-3;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V13-3
VM06-01;NA V13-5;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20V13-5
TB01-1;NA T4-5;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T4-5
TB01-1;NA T4-9;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T4-9
TG01-2;NA T27-1;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T27-1
TG01-2;NA T27-3;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T27-3
SC05-02;NA H2-4;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H2-4
SC05-02;NA H2-5;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H2-5
SC05-02;NA H2-6;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H2-6
