natursystemNavn;natursystemKode;hovedtypegruppeNavn;hovedtypeGruppeKode;hovedtypeNavn;hovedtypeKode;miljovariabelType;miljovariabelHovedtype;miljovariabelKode;miljovariabelNavn;trinnKode;trinnNavn;basistrinnNavn
Natursystem;NA;Saltvannsbunnsystemer;NA M;Afotisk fast saltvannsbunn;NA M2;Miljøvariabel;NA M2;DM;Dybderelatert miljøstabilisering;M2-DM_2;;DM-a
Natursystem;NA;Saltvannsbunnsystemer;NA M;Afotisk fast saltvannsbunn;NA M2;Miljøvariabel;NA M2;DM;Dybderelatert miljøstabilisering;M2-DM_1;;DM-0
Natursystem;NA;Saltvannsbunnsystemer;NA M;Afotisk fast saltvannsbunn;NA M2;Miljøvariabel;NA M2;DD;Dybderelatert variasjon i dype terskelfjorder;M2-DD_1;atlantisk vann i nedre sublitoral (< 700 m);DD-0
Natursystem;NA;Saltvannsbunnsystemer;NA M;Afotisk fast saltvannsbunn;NA M2;Miljøvariabel;NA M2;DD;Dybderelatert variasjon i dype terskelfjorder;M2-DD_2;atlantisk vann i bathypelagial og bathyal (> 700 m);DD-a
Natursystem;NA;Saltvannsbunnsystemer;NA M;Afotisk fast saltvannsbunn;NA M2;Miljøvariabel;NA M2;BK;Berggrunn med avvikende kjemisk sammensetning;M2-BK_1;;BK-0
Natursystem;NA;Saltvannsbunnsystemer;NA M;Afotisk fast saltvannsbunn;NA M2;Miljøvariabel;NA M2;BK;Berggrunn med avvikende kjemisk sammensetning;M2-BK_2;;BK-a
Natursystem;NA;Saltvannsbunnsystemer;NA M;Afotisk fast saltvannsbunn;NA M2;Miljøvariabel;NA M2;SA;Marin salinitet;M2-SA_2;salt;SA-d
Natursystem;NA;Saltvannsbunnsystemer;NA M;Afotisk fast saltvannsbunn;NA M2;Miljøvariabel;NA M2;SA;Marin salinitet;M2-SA_2;salt;SA-f
Natursystem;NA;Saltvannsbunnsystemer;NA M;Afotisk fast saltvannsbunn;NA M2;Miljøvariabel;NA M2;SA;Marin salinitet;M2-SA_2;salt;SA-e
Natursystem;NA;Saltvannsbunnsystemer;NA M;Afotisk fast saltvannsbunn;NA M2;Miljøvariabel;NA M2;SA;Marin salinitet;M2-SA_1;temmelig brakt;SA-b
Natursystem;NA;Saltvannsbunnsystemer;NA M;Afotisk fast saltvannsbunn;NA M2;Miljøvariabel;NA M2;SA;Marin salinitet;M2-SA_1;temmelig brakt;SA-c
Natursystem;NA;Saltvannsbunnsystemer;NA M;Afotisk fast saltvannsbunn;NA M2;Miljøvariabel;NA M2;VF;Vannpåvirkningsintensitet;M2-VF_1;;VF-a
Natursystem;NA;Saltvannsbunnsystemer;NA M;Afotisk fast saltvannsbunn;NA M2;Miljøvariabel;NA M2;VF;Vannpåvirkningsintensitet;M2-VF_2;;VF-b
Natursystem;NA;Saltvannsbunnsystemer;NA M;Afotisk fast saltvannsbunn;NA M2;Miljøvariabel;NA M2;VF;Vannpåvirkningsintensitet;M2-VF_2;;VF-c
Natursystem;NA;Saltvannsbunnsystemer;NA M;Fast fjærebeltebunn;NA M3;Miljøvariabel;NA M3;HF;Helningsbetinget forstyrrelsesintensitet;M3-HF_2;;HF-+
Natursystem;NA;Saltvannsbunnsystemer;NA M;Fast fjærebeltebunn;NA M3;Miljøvariabel;NA M3;HF;Helningsbetinget forstyrrelsesintensitet;M3-HF_1;;HF-0
Natursystem;NA;Saltvannsbunnsystemer;NA M;Fast fjærebeltebunn;NA M3;Miljøvariabel;NA M3;HF;Helningsbetinget forstyrrelsesintensitet;M3-HF_1;;HF-a
Natursystem;NA;Saltvannsbunnsystemer;NA M;Fast fjærebeltebunn;NA M3;Miljøvariabel;NA M3;HF;Helningsbetinget forstyrrelsesintensitet;M3-HF_1;;HF-b
Natursystem;NA;Saltvannsbunnsystemer;NA M;Fast fjærebeltebunn;NA M3;Miljøvariabel;NA M3;IF;Isbetinget forstyrrelse;M3-IF_2;;IF-¤
Natursystem;NA;Saltvannsbunnsystemer;NA M;Fast fjærebeltebunn;NA M3;Miljøvariabel;NA M3;IF;Isbetinget forstyrrelse;M3-IF_1;;IF-0
Natursystem;NA;Saltvannsbunnsystemer;NA M;Fast fjærebeltebunn;NA M3;Miljøvariabel;NA M3;IF;Isbetinget forstyrrelse;M3-IF_1;;IF-a
Natursystem;NA;Saltvannsbunnsystemer;NA M;Fast fjærebeltebunn;NA M3;Miljøvariabel;NA M3;IF;Isbetinget forstyrrelse;M3-IF_1;;IF-b
Natursystem;NA;Saltvannsbunnsystemer;NA M;Fast fjærebeltebunn;NA M3;Miljøvariabel;NA M3;VR;Vannpåvirkningsregime;M3-VR_1;bølgepåvirkning;VR-a
Natursystem;NA;Saltvannsbunnsystemer;NA M;Fast fjærebeltebunn;NA M3;Miljøvariabel;NA M3;VR;Vannpåvirkningsregime;M3-VR_2;tidevannsstrøm;VR-b
Natursystem;NA;Saltvannsbunnsystemer;NA M;Fast fjærebeltebunn;NA M3;Miljøvariabel;NA M3;VF;Vannpåvirkningsintensitet;M3-VF_1;;VF-a
Natursystem;NA;Saltvannsbunnsystemer;NA M;Fast fjærebeltebunn;NA M3;Miljøvariabel;NA M3;VF;Vannpåvirkningsintensitet;M3-VF_1;;VF-b
Natursystem;NA;Saltvannsbunnsystemer;NA M;Fast fjærebeltebunn;NA M3;Miljøvariabel;NA M3;VF;Vannpåvirkningsintensitet;M3-VF_1;;VF-0
Natursystem;NA;Saltvannsbunnsystemer;NA M;Fast fjærebeltebunn;NA M3;Miljøvariabel;NA M3;VF;Vannpåvirkningsintensitet;M3-VF_2;;VF-c
Natursystem;NA;Saltvannsbunnsystemer;NA M;Fast fjærebeltebunn;NA M3;Miljøvariabel;NA M3;VF;Vannpåvirkningsintensitet;M3-VF_2;;VF-d
Natursystem;NA;Saltvannsbunnsystemer;NA M;Fast fjærebeltebunn;NA M3;Miljøvariabel;NA M3;VF;Vannpåvirkningsintensitet;M3-VF_3;;VF-e
Natursystem;NA;Saltvannsbunnsystemer;NA M;Fast fjærebeltebunn;NA M3;Miljøvariabel;NA M3;VF;Vannpåvirkningsintensitet;M3-VF_3;;VF-f
