col_0;Variabelgruppe;Nivå 1 Kode;;Nivå 2 Kode;;Nivå 3 Kode;Sammensatt kode;Navn;Variabeltype;Nivå 2 Kode ny;Tags
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);60;2BE-4_60;Albititt (albitite);B;2BE-4;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);61;2BE-4_61;Hydrotermalkvarts (hydrothermal quartz);B;2BE-4;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);70;2BE-4_70;Mylonitt (mylonite);B;2BE-4;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);71;2BE-4_71;Kataklasitt (cataclasite);B;2BE-4;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);72;2BE-4_72;Tektonisk breksje (tectonic breccia);B;2BE-4;Trinn
2;Geologisk sammensetning;BE;Bergartsforekomst;4;Metamorf bergart (metamorphic rock);73;2BE-4_73;Nedslagsbreksje (impact breccia);B;2BE-4;Trinn
2;Geologisk sammensetning;FO;Fossilforekomst;X;Observert forekomst av fossil;;2FO_X;Fossilforekomst [observert forekomst av fossil];B;2FO-X;Trinn
2;Geologisk sammensetning;JA;Jordartsforekomst;1;Jordartsforekomst;;2JA_1;Breelvavsetning;B;2JA;Trinn
2;Geologisk sammensetning;JA;Jordartsforekomst;2;Jordartsforekomst;;2JA_2;Flomavsetning (mjæle) ;B;2JA;Trinn
2;Geologisk sammensetning;JA;Jordartsforekomst;3;Jordartsforekomst;;2JA_3;Flomskredavsetning;B;2JA;Trinn
2;Geologisk sammensetning;JA;Jordartsforekomst;4;Jordartsforekomst;;2JA_4;Elveavsetning;B;2JA;Trinn
2;Geologisk sammensetning;JA;Jordartsforekomst;5;Jordartsforekomst;;2JA_5;Forvitringsjord;B;2JA;Trinn
2;Geologisk sammensetning;JA;Jordartsforekomst;6;Jordartsforekomst;;2JA_6;Havavsetning;B;2JA;Trinn
2;Geologisk sammensetning;JA;Jordartsforekomst;7;Jordartsforekomst;;2JA_7;Innsjøavsetning;B;2JA;Trinn
2;Geologisk sammensetning;JA;Jordartsforekomst;8;Jordartsforekomst;;2JA_8;Morenejord;B;2JA;Trinn
2;Geologisk sammensetning;JA;Jordartsforekomst;9;Jordartsforekomst;;2JA_9;Organisk materiale;B;2JA;Trinn
2;Geologisk sammensetning;JA;Jordartsforekomst;10;Jordartsforekomst;;2JA_10;Planert jord;B;2JA;Trinn
2;Geologisk sammensetning;JA;Jordartsforekomst;11;Jordartsforekomst;;2JA_11;Skredjord;B;2JA;Trinn
2;Geologisk sammensetning;JA;Jordartsforekomst;12;Jordartsforekomst;;2JA_12;Strandavsetning;B;2JA;Trinn
2;Geologisk sammensetning;JA;Jordartsforekomst;13;Jordartsforekomst;;2JA_13;Vindavsetning;B;2JA;Trinn
2;Geologisk sammensetning;JA;Jordartsforekomst;14;Jordartsforekomst;;2JA_14;Påfylt/påkjørt jord ;B;2JA;Trinn
2;Geologisk sammensetning;JA;Jordartsforekomst;15;Jordartsforekomst;;2JA_15;Bresjøavsetning ;B;2JA;Trinn
2;Geologisk sammensetning;JM;Jordsmonnforekomst;AB;Jordsmonnforekomst;;2JM_AB;Albeluvisol;B;2JM;Trinn
2;Geologisk sammensetning;JM;Jordsmonnforekomst;AR;Jordsmonnforekomst;;2JM_AR;Arenosol;B;2JM;Trinn
2;Geologisk sammensetning;JM;Jordsmonnforekomst;AT;Jordsmonnforekomst;;2JM_AT;Antrosol;B;2JM;Trinn
2;Geologisk sammensetning;JM;Jordsmonnforekomst;CM;Jordsmonnforekomst;;2JM_CM;Cambisol;B;2JM;Trinn
2;Geologisk sammensetning;JM;Jordsmonnforekomst;CR;Jordsmonnforekomst;;2JM_CR;Cryosol;B;2JM;Trinn
2;Geologisk sammensetning;JM;Jordsmonnforekomst;FL;Jordsmonnforekomst;;2JM_FL;Fluvisol;B;2JM;Trinn
2;Geologisk sammensetning;JM;Jordsmonnforekomst;GL;Jordsmonnforekomst;;2JM_GL;Gleysol;B;2JM;Trinn
2;Geologisk sammensetning;JM;Jordsmonnforekomst;HS;Jordsmonnforekomst;;2JM_HS;Histosol;B;2JM;Trinn
2;Geologisk sammensetning;JM;Jordsmonnforekomst;LP;Jordsmonnforekomst;;2JM_LP;Leptosol;B;2JM;Trinn
2;Geologisk sammensetning;JM;Jordsmonnforekomst;LU;Jordsmonnforekomst;;2JM_LU;Luvisol;B;2JM;Trinn
2;Geologisk sammensetning;JM;Jordsmonnforekomst;PH;Jordsmonnforekomst;;2JM_PH;Phaeosem;B;2JM;Trinn
2;Geologisk sammensetning;JM;Jordsmonnforekomst;PZ;Jordsmonnforekomst;;2JM_PZ;Podzol;B;2JM;Trinn
2;Geologisk sammensetning;JM;Jordsmonnforekomst;RG;Jordsmonnforekomst;;2JM_RG;Regosol;B;2JM;Trinn
2;Geologisk sammensetning;JM;Jordsmonnforekomst;RH;Jordsmonnforekomst;;2JM_RH;Dyrka fylling/påfylt jord (= RGah);B;2JM;Trinn
2;Geologisk sammensetning;JM;Jordsmonnforekomst;UM;Jordsmonnforekomst;;2JM_UM;Umbrisol;B;2JM;Trinn
2;Geologisk sammensetning;MI;Mineralforekomst;X;Mineralforekomst ;;2MI_X;Mineral [observert forekomst av mineral med kode XXXX];B;2MI;Trinn
