Besys1;Nivå 1 kode;col_2;Nivå 2 kode;Nivå 2 beskrivelse;Trinn;Sammensatt_kode;Navn [og forklaring];Type;Måle-skala;Nivå 2 kode ny;Nivå 2 Tags;Tags;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-Bzz;Mark- og bunnlevende art - Dekning -  Innførte bartrearter (Picea spp., Pinus spp., Larix spp, Abies spp. o.a.);1;1AE-MB-D-Bzz_1;6,25 - 12,5 % dekning;A;A6;1AE-MB-D-Bzz;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-Bzz;Mark- og bunnlevende art - Dekning -  Innførte bartrearter (Picea spp., Pinus spp., Larix spp, Abies spp. o.a.);2;1AE-MB-D-Bzz_2;12,5 - 25 % dekning;A;A6;1AE-MB-D-Bzz;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-Bzz;Mark- og bunnlevende art - Dekning -  Innførte bartrearter (Picea spp., Pinus spp., Larix spp, Abies spp. o.a.);3;1AE-MB-D-Bzz_3;25 - 50 % dekning;A;A6;1AE-MB-D-Bzz;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-Bzz;Mark- og bunnlevende art - Dekning -  Innførte bartrearter (Picea spp., Pinus spp., Larix spp, Abies spp. o.a.);4;1AE-MB-D-Bzz_4;50 - 75 % dekning;A;A6;1AE-MB-D-Bzz;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-Bzz;Mark- og bunnlevende art - Dekning -  Innførte bartrearter (Picea spp., Pinus spp., Larix spp, Abies spp. o.a.);5;1AE-MB-D-Bzz_5;> 75 % dekning;A;A6;1AE-MB-D-Bzz;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-Bzz;Mark- og bunnlevende art - Dekning -  Innførte bartrearter (Picea spp., Pinus spp., Larix spp, Abies spp. o.a.);x;1AE-MB-D-Bzz_x;Ikke registrert;A;A6;1AE-MB-D-Bzz;Kilde til variasjon;Trinn;Scientificnameid;Scientificname
1;AE;Enkeltartssammensetning;MB-D-COav;Mark- og bunnlevende art - Dekning -  Hassel (Corylus avellana);0;1AE-MB-D-COav_0;0 - 6,25 % dekning;A;A6;1AE-MB-D-COav;Kilde til variasjon;Trinn;102150;Corylus avellana
1;AE;Enkeltartssammensetning;MB-D-COav;Mark- og bunnlevende art - Dekning  - Hassel (Corylus avellana);0;1AE-MB-D-COav_0;0 - 6,25 % dekning;A;A6;1AE-MB-D-COav;Kilde til variasjon;Trinn;102150;Corylus avellana
1;AE;Enkeltartssammensetning;MB-D-COav;Mark- og bunnlevende art - Dekning -  Hassel (Corylus avellana);1;1AE-MB-D-COav_1;6,25 - 12,5 % dekning;A;A6;1AE-MB-D-COav;Kilde til variasjon;Trinn;102150;Corylus avellana
1;AE;Enkeltartssammensetning;MB-D-COav;Mark- og bunnlevende art - Dekning  - Hassel (Corylus avellana);1;1AE-MB-D-COav_1;6,25 - 12,5 % dekning;A;A6;1AE-MB-D-COav;Kilde til variasjon;Trinn;102150;Corylus avellana
1;AE;Enkeltartssammensetning;MB-D-COav;Mark- og bunnlevende art - Dekning -  Hassel (Corylus avellana);2;1AE-MB-D-COav_2;12,5 - 25 % dekning;A;A6;1AE-MB-D-COav;Kilde til variasjon;Trinn;102150;Corylus avellana
1;AE;Enkeltartssammensetning;MB-D-COav;Mark- og bunnlevende art - Dekning  - Hassel (Corylus avellana);2;1AE-MB-D-COav_2;12,5 - 25 % dekning;A;A6;1AE-MB-D-COav;Kilde til variasjon;Trinn;102150;Corylus avellana
1;AE;Enkeltartssammensetning;MB-D-COav;Mark- og bunnlevende art - Dekning -  Hassel (Corylus avellana);3;1AE-MB-D-COav_3;25 - 50 % dekning;A;A6;1AE-MB-D-COav;Kilde til variasjon;Trinn;102150;Corylus avellana
1;AE;Enkeltartssammensetning;MB-D-COav;Mark- og bunnlevende art - Dekning  - Hassel (Corylus avellana);3;1AE-MB-D-COav_3;25 - 50 % dekning;A;A6;1AE-MB-D-COav;Kilde til variasjon;Trinn;102150;Corylus avellana
1;AE;Enkeltartssammensetning;MB-D-COav;Mark- og bunnlevende art - Dekning -  Hassel (Corylus avellana);4;1AE-MB-D-COav_4;50 - 75 % dekning;A;A6;1AE-MB-D-COav;Kilde til variasjon;Trinn;102150;Corylus avellana
1;AE;Enkeltartssammensetning;MB-D-COav;Mark- og bunnlevende art - Dekning  - Hassel (Corylus avellana);4;1AE-MB-D-COav_4;50 - 75 % dekning;A;A6;1AE-MB-D-COav;Kilde til variasjon;Trinn;102150;Corylus avellana
